Konfigurator;Tab;Reihe;"Reihe erforderlich";"Reihe erlaubt die Auswahl mehrerer Produkte";"Produkt SKU";"Produkt standardmäßig ausgewählt";"Bild für die Visualisierung";"Farbe des Bandes";"Text des Bandes"
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_001;x;Bembe_Comfort_Tabis_Smart_matt_versiegelt-1.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_002;;Bembe_Comfort_Tabis_Smart.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_005;;Bembe_Comfort_Tabis_Diele_matt_versieglt-1.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_004;;Bembe_Comfort-Tabis_Diele.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_003;;Bembe_Comfort_Tabis_Raeuchereiche_geoelt.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_006;;Bembe_Comfort_Tabis_Diele_Eiche_Mokka_geoelt-1.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_007;;Mosa_1104V_Residential_Cool_Grey_30x60-2.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_008;;Mosa_1101V_Residential_Cream_30x60-2.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_011;;Mosa_5126V_Core_Collection_Natural_Beige_30x60-2.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_012;;Mosa_5104V_Core_Collection_Clay_Grey_30x60-2.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_013;;Mosa_5112V_Core_Collection_Graphite_Black_30x60-2.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_014;;Mosa_5102V_Core_Collection_Vivid_White_30x60-2.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_009;;Mosa-1104V-Residential-Cool-Grey-60x60.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_010;;Mosa-1101V-Residential-Cream-60x60.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_015;;Mosa-5126V-Core-Collection-Natural-Beige-60x60.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_016;;Mosa-5104V-Core-Collection-Clay-Grey-60x60.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_017;;Mosa-5112V-Core-Collection-Graphite-Black-60x60.png;;
"Online Bemusterung";Bodenbeläge;Parkett/Fliesen;x;x;s090de_018;;Mosa-5102V-Core-Collection-Vivid-White-60x60.png;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_019;x;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_020;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_021;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_022;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_023;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_024;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_025;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_026;;;;
"Online Bemusterung";Bodenbeläge;Sockelleisten;x;x;s090de_027;;;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_048;x;Mosa_1104V_Residential_Cool_Grey_30x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_049;;Mosa_1101V_Residential_Cream_30x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_052;;Mosa_5126V_Core_Collection_Natural_Beige_30x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_053;;Mosa_5104V_Core_Collection_Clay_Grey_30x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_054;;Mosa_5112V_Core_Collection_Graphite_Black_30x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_055;;Mosa_5102V_Core_Collection_Vivid_White_30x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_050;;Bodenfliesen_Mosa-1104V-Residential-Cool-Grey-60x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_051;;Bodenfliesen_Mosa-1101V-Residential-Cream-60x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_056;;Bodenfliesen_Mosa-5126V-Core-Collection-Natural-Beige-60x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_057;;Bodenfliesen_Mosa-5104V-Core-Collection-Clay-Grey-60x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_058;;Bodenfliesen_Mosa-5112V-Core-Collection-Graphite-Black-60x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Bodenfliesen;x;;s090de_059;;Bodenfliesen_Mosa-5102V-Core-Collection-Vivid-White-60x60.png;;
"Online Bemusterung";"Fliesen (Bad)";Wandfliesen;x;;s090de_060;x;Mosa_1104V_Residential_Cool_Grey_30x60-1.png;;
"Online Bemusterung";"Fliesen (Bad)";Wandfliesen;x;;s090de_061;;Mosa_1101V_Residential_Cream_30x60-1.png;;
"Online Bemusterung";"Fliesen (Bad)";Wandfliesen;x;;s090de_064;;Mosa_5126V_Core_Collection_Natural_Beige_30x60-1.png;;
"Online Bemusterung";"Fliesen (Bad)";Wandfliesen;x;;s090de_065;;Mosa_5104V_Core_Collection_Clay_Grey_30x60-1.png;;
"Online Bemusterung";"Fliesen (Bad)";Wandfliesen;x;;s090de_066;;Mosa_5112V_Core_Collection_Graphite_Black_30x60-1.png;;
"Online Bemusterung";"Fliesen (Bad)";Wandfliesen;x;;s090de_067;;Mosa_5102V_Core_Collection_Vivid_White_30x60-1.png;;
